Year,Gebietseinheit,GeoCode,Value
2011,"Vechta",K03460,215
2011,"Wesermarsch",K03461,60
2011,"Wittmund",K03462,12
2011,"Statistische Region Weser-Ems",K034,2227
2011,"Niedersachsen",K030,7995
2012,"Braunschweig, Stadt",K03101,408
2012,"Salzgitter, Stadt",K03102,159
2012,"Wolfsburg, Stadt",K03103,222
2012,"Gifhorn",K03151,125
2012,"Goslar",K03153,141
2012,"Helmstedt",K03154,48
2012,"Northeim",K03155,102
2012,"Peine",K03157,138
2012,"Wolfenbüttel",K03158,97
2012,"Göttingen",K03159,348
2012,"Statistische Region Braunschweig",K031,1788
2012,"Hannover  Region",K03241,2363
2012,"dav. Hannover, Lhst.",K03241001,1509
2012,"dav. Hannover, Umland",K03241999,854
2012,"Diepholz",K03251,146
2012,"Hameln-Pyrmont",K03252,155
2012,"Hildesheim",K03254,268
2012,"Holzminden",K03255,62
2012,"Nienburg (Weser)",K03256,110
2012,"Schaumburg",K03257,161
2012,"Statistische Region Hannover",K032,3265
2012,"Celle",K03351,120
2012,"Cuxhaven",K03352,141
2012,"Harburg",K03353,153
2012,"Lüchow-Dannenberg",K03354,13
2012,"Lüneburg",K03355,199
2012,"Osterholz",K03356,75
2012,"Rotenburg (Wümme)",K03357,106
2012,"Heidekreis",K03358,114
2012,"Stade",K03359,166
2012,"Uelzen",K03360,47
2012,"Verden",K03361,132
2012,"Statistische Region Lüneburg",K033,1266
2012,"Delmenhorst, Stadt",K03401,180
2012,"Emden  Stadt",K03402,25
2012,"Oldenburg(Oldb), Stadt",K03403,210
2012,"Osnabrück, Stadt",K03404,258
2012,"Wilhelmshaven, Stadt",K03405,83
2012,"Ammerland",K03451,87
2012,"Aurich",K03452,116
2012,"Cloppenburg",K03453,124
2012,"Emsland",K03454,157
2012,"Friesland",K03455,47
2012,"Grafschaft Bentheim",K03456,131
2012,"Leer",K03457,94
2012,"Oldenburg",K03458,129
2012,"Osnabrück",K03459,228
2012,"Vechta",K03460,205
2012,"Wesermarsch",K03461,95
2012,"Wittmund",K03462,38
2012,"Statistische Region Weser-Ems",K034,2207
2012,"Niedersachsen",K030,8526
2013,"Braunschweig, Stadt",K03101,418
2013,"Salzgitter, Stadt",K03102,135
2013,"Wolfsburg, Stadt",K03103,252
2013,"Gifhorn",K03151,112
2013,"Goslar",K03153,116
2013,"Helmstedt",K03154,54
2013,"Northeim",K03155,101
2013,"Peine",K03157,119
2013,"Wolfenbüttel",K03158,113
2013,"Göttingen",K03159,299
2013,"Statistische Region Braunschweig",K031,1719
2013,"Hannover  Region",K03241,2061
2013,"dav. Hannover, Lhst.",K03241001,1337
2013,"dav. Hannover, Umland",K03241999,724
2013,"Diepholz",K03251,157
2013,"Hameln-Pyrmont",K03252,180
2013,"Hildesheim",K03254,259
2013,"Holzminden",K03255,33
